surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Ag111,CH3,pbe,-1.48,-1.53,-0.06,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CH3,pbe_d3,-1.73,-1.53,+0.19,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CH3,r2scan,-1.92,-1.53,+0.38,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CO,pbe,-0.59,-0.43,+0.16,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CO,pbe_d3,-0.83,-0.43,+0.40,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CO,r2scan,-1.31,-0.43,+0.88,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CO2,pbe,-1.235,-0.36,+0.878,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,CO2,r2scan,-2.17,-0.36,+1.82,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,DME,r2scan,-1.32,-0.20,+1.11,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2,pbe,-0.68,-0.23,+0.45,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2,pbe_d3,-0.78,-0.23,+0.55,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2,r2scan,-1.21,-0.23,+0.99,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2O,pbe,-0.80,-0.45,+0.35,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2O,pbe_d3,-1.01,-0.45,+0.56,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2O,r2scan,-1.38,-0.45,+0.94,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2S,pbe,-0.80,-0.37,+0.43,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,H2S,pbe_d3,-1.14,-0.37,+0.78,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,N2,pbe,-0.70,-0.05,+0.64,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,N2,pbe_d3,-0.78,-0.05,+0.73,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,N2,r2scan,-1.24,-0.05,+1.18,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,NH3,pbe,-0.97,-0.60,+0.36,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,NH3,pbe_d3,-1.23,-0.60,+0.63,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,NH3,r2scan,-1.63,-0.60,+1.02,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag111,NO,pbe,-1.24,-0.54,+0.70,11b026e8de754c84d5b784e3036e0063b5e3c391
