cluster,role,surface,molecule,functional,mode,status,E_TOTEN_eV,composition,directory,snapshot_id,source_kind,note
kestrel,complex,Ag100,acetaldehyde,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/PBE,70bd19959d1496d094c4c35489b085fc7589c9bd9f95b916763c6011b1ca0ae2,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,acetaldehyde,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/PBE_D3,ef2162f02764547cdd8e00804d104407e94cca82d190c6edccdadf1f7b2d859c,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,acetaldehyde,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/beef_vdw,8849fabc430f9848a67f691e50997e201b08c446ce7b0c8c4010b15a8303a9cc,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,acetaldehyde,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/r2scan,69d4ba6d4ec04b1ef32c9ebd7056fabc32aef9d340bcfd06eb3a3696b55d600c,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetaldehyde/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,acetic_acid,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/PBE,7fe9e6c9da2d0750f160de3b72a1defcb83147028c5663b642dfbc8c3fdb8dec,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,acetic_acid,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/PBE_D3,a74f35c5e1c73fe25d6d7434fdb71d866dcebd7c8a3b4c843d8fade4e3815b2e,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,acetic_acid,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/beef_vdw,be7c68f056871a3f6bdc4de11bcd34dbe37134a7bf376f45f0212ddb370502b7,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,acetic_acid,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/r2scan,75409be1605df228b02f1a8a55fbe35143d773b9b03e977a2143b9eed84d3b63,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_acetic_acid/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,ethane,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_ethane/singlepoint/PBE,b33093397d32e4891f26c80de3c2cd8d08737ce6119b5b91b03ff414767b6539,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_ethane/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,ethane,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_ethane/singlepoint/PBE_D3,5e99853366c230634fed8a22242090c6e57c7b5e7e4abe5700121cac5749e4e4,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_ethane/singlepoint/PBE_D3/OUTCAR.gz'
