name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Au100_methylmethacrylate,Au100,methylmethacrylate,64,15,-1.135,beef_vdw,,,,no validated size-matched selection,
Au100_muconic_acid,Au100,muconic_acid,64,16,0.269,r2scan,,,,no validated size-matched selection,
Au100_naphthalene,Au100,naphthalene,64,18,-0.27,beef_vdw,,,,no validated size-matched selection,
Au100_octane,Au100,octane,64,26,0.359,r2scan,,,,no validated size-matched selection,
Au100_oxalic_acid,Au100,oxalic_acid,64,8,-0.071,r2scan,,,,no validated size-matched selection,
Au100_pentane,Au100,pentane,64,17,0.45,r2scan,,,,no validated size-matched selection,
Au100_pentanol,Au100,pentanol,64,18,0.431,r2scan,,,,no validated size-matched selection,
Au100_phenol,Au100,phenol,64,13,0.467,r2scan,,,,no validated size-matched selection,
Au100_propanal,Au100,propanal,64,10,0.574,r2scan,,,,no validated size-matched selection,
Au100_propane,Au100,propane,64,11,0.5,r2scan,,,,no validated size-matched selection,
Au100_propanol,Au100,propanol,64,12,0.351,r2scan,,,,no validated size-matched selection,
Au100_propene,Au100,propene,64,9,0.538,r2scan,,,,no validated size-matched selection,
Au100_propionic_acid,Au100,propionic_acid,64,11,0.632,r2scan,,,,no validated size-matched selection,
Au100_propyl_syringol,Au100,propyl_syringol,64,30,0.622,r2scan,,,,no validated size-matched selection,
Au100_pyrrole,Au100,pyrrole,64,10,0.442,r2scan,,,,no validated size-matched selection,
Au100_pyruvic_acid,Au100,pyruvic_acid,64,10,0.57,r2scan,,,,no validated size-matched selection,
Au100_sorbitol,Au100,sorbitol,64,26,-6.666,r2scan,,,,no validated size-matched selection,
Au100_styrene,Au100,styrene,64,16,0.534,r2scan,,,,no validated size-matched selection,
Au100_succinic_acid,Au100,succinic_acid,64,14,-6.933,beef_vdw,,,,no validated size-matched selection,
Au100_syringaldehyde,Au100,syringaldehyde,64,23,0.492,r2scan,,,,no validated size-matched selection,
Au100_syringol,Au100,syringol,64,21,0.886,r2scan,,,,no validated size-matched selection,
Au100_tartaric_acid,Au100,tartaric_acid,64,16,-0.004,r2scan,,,,no validated size-matched selection,
Au100_thiophene,Au100,thiophene,64,9,-0.049,r2scan,,,,no validated size-matched selection,
Au100_toluene,Au100,toluene,64,15,0.537,r2scan,,,,no validated size-matched selection,
Au100_valeraldehyde,Au100,valeraldehyde,64,16,0.499,r2scan,,,,no validated size-matched selection,
Au100_vanillin,Au100,vanillin,64,19,0.558,r2scan,,,,no validated size-matched selection,
Au100_xylene,Au100,xylene,64,18,0.569,r2scan,,,,no validated size-matched selection,
Au100_xylitol,Au100,xylitol,64,22,0.435,r2scan,,,,no validated size-matched selection,
"Au110_1,6-anhydroglucofuranose",Au110,"1,6-anhydroglucofuranose",64,17,0.319,r2scan,,,,no validated size-matched selection,
Au110_1-butanol,Au110,1-butanol,64,15,0.125,r2scan,,,,no validated size-matched selection,
Au110_1-butene,Au110,1-butene,64,12,0.437,r2scan,,,,no validated size-matched selection,
Au110_1-pentene,Au110,1-pentene,64,15,0.416,r2scan,,,,no validated size-matched selection,
Au110_2-butanol,Au110,2-butanol,64,15,0.395,r2scan,,,,no validated size-matched selection,
Au110_2-butene,Au110,2-butene,64,12,0.522,r2scan,,,,no validated size-matched selection,
Au110_2-ethylphenol,Au110,2-ethylphenol,64,19,0.065,r2scan,,,,no validated size-matched selection,
Au110_2-furanone,Au110,2-furanone,64,10,0.502,r2scan,,,,no validated size-matched selection,
Au110_2-heptanone,Au110,2-heptanone,64,22,0.43,r2scan,,,,no validated size-matched selection,
Au110_2-hexanone,Au110,2-hexanone,64,19,0.476,r2scan,,,,no validated size-matched selection,
Au110_2-pentanone,Au110,2-pentanone,64,16,0.377,r2scan,,,,no validated size-matched selection,
Au110_3-MTHF,Au110,3-MTHF,64,16,0.468,r2scan,,,,no validated size-matched selection,
Au110_3-hydroxypropionic_acid,Au110,3-hydroxypropionic_acid,64,12,0.57,r2scan,,,,no validated size-matched selection,
Au110_4-methylguaiacol,Au110,4-methylguaiacol,64,20,0.529,r2scan,,,,no validated size-matched selection,
Au110_5-HMF,Au110,5-HMF,64,15,-0.393,r2scan,,,,no validated size-matched selection,
Au110_5-heptanone,Au110,5-heptanone,64,22,0.412,r2scan,,,,no validated size-matched selection,
Au110_5-methylfurfural,Au110,5-methylfurfural,64,14,0.454,r2scan,,,,no validated size-matched selection,
Au110_CH4,Au110,CH4,64,5,0.518,r2scan,,,,no validated size-matched selection,
Au110_CO,Au110,CO,64,2,-0.65,r2scan,,,,no validated size-matched selection,
Au110_CO2,Au110,CO2,64,3,0.058,r2scan,,,,no validated size-matched selection,
Au110_D-fructofuranose,Au110,D-fructofuranose,64,20,0.536,r2scan,,,,no validated size-matched selection,
Au110_D-xylopyranose,Au110,D-xylopyranose,64,20,0.303,r2scan,,,,no validated size-matched selection,
Au110_DME,Au110,DME,64,9,0.5,r2scan,,,,no validated size-matched selection,
Au110_DMSO,Au110,DMSO,64,10,-0.122,r2scan,,,,no validated size-matched selection,
Au110_H2,Au110,H2,64,2,0.534,r2scan,,,,no validated size-matched selection,
