surface,molecule,functional,mode,old_E_ads,new_E_ads,reason
Ag111,ethane,pbe,relaxed,-1.221,-0.00704433,Perlmutter first
Ag111,ethane,pbe_d3,relaxed,-1.478,-0.26285291,Perlmutter first
Ag111,ethane,r2scan,relaxed,-2.168,-0.09206298,Perlmutter first
Ag111,ethane,beef_vdw,relaxed,-44.523,-0.28149866,Perlmutter first
Ag111,ethanol,pbe,relaxed,-1.317,-0.10299803,Perlmutter first
Ag111,ethanol,pbe_d3,relaxed,-1.654,-0.43884549,Perlmutter first
Ag111,ethanol,pbe_d3,SPE,-0.271,-0.27312484,Perlmutter first
Ag111,ethanol,r2scan,SPE,-0.157,-0.15284055,Perlmutter first
Ag111,ethanol,beef_vdw,relaxed,-44.647,-0.40564449,Perlmutter first
Ag111,ethanol,beef_vdw,SPE,-0.310,-0.30548895,Perlmutter first
Au111,CO2,pbe,SPE,0.012,0.00379225,Perlmutter first
Au111,CO2,r2scan,SPE,0.103,0.12382745,Perlmutter first
Au111,CO2,beef_vdw,SPE,-0.157,-0.18607244,Perlmutter first
Au111,glycerol,pbe,SPE,0.252,0.24347459,Kestrel: no usable Perlmutter binding-energy candidate
Au111,glycerol,pbe_d3,SPE,-0.072,-0.02830199,Kestrel: no usable Perlmutter binding-energy candidate
Au111,glycerol,r2scan,SPE,0.263,0.28369208,Kestrel: no usable Perlmutter binding-energy candidate
Au111,isopropanol,pbe,SPE,0.202,0.19367286,Kestrel: no usable Perlmutter binding-energy candidate
Au111,isopropanol,pbe_d3,SPE,0.019,0.06218061,Kestrel: no usable Perlmutter binding-energy candidate
Au111,isopropanol,r2scan,SPE,0.263,0.28438191,Kestrel: no usable Perlmutter binding-energy candidate
Au111,isopropanol,beef_vdw,SPE,-0.300,-0.32878585,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propane,pbe,SPE,0.200,0.19192616,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propane,pbe_d3,SPE,0.159,0.20172020,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propane,r2scan,SPE,0.315,0.33564193,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propane,beef_vdw,SPE,-0.234,-0.26236809,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propene,pbe,SPE,0.311,0.30258699,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propene,pbe_d3,SPE,0.300,0.34301752,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propene,r2scan,SPE,0.448,0.46849797,Kestrel: no usable Perlmutter binding-energy candidate
Au111,propene,beef_vdw,SPE,-0.096,-0.12434499,Kestrel: no usable Perlmutter binding-energy candidate
Cu110,CO,beef_vdw,SPE,-1.332,-31.51480864,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,CO2,beef_vdw,SPE,-0.727,-30.90981024,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,DME,pbe,relaxed,-4.34,0.26888765,Perlmutter first
Cu110,DME,pbe,SPE,,0.28311427,Perlmutter first
Cu110,DME,pbe_d3,relaxed,,-0.25314227,Perlmutter first
Cu110,DME,pbe_d3,SPE,,-0.17472440,Perlmutter first
Cu110,DME,r2scan,SPE,0.193,0.09617060,Perlmutter first
Cu110,DME,beef_vdw,SPE,-0.747,-31.24475886,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,H2O,beef_vdw,SPE,-0.866,-31.04838870,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,H2S,pbe,SPE,,0.12580437,Perlmutter first
Cu110,H2S,pbe_d3,SPE,,-0.33367297,Perlmutter first
Cu110,H2S,r2scan,SPE,,-0.03055169,Perlmutter first
Cu110,H2S,beef_vdw,SPE,,-31.14608150,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,N2,pbe,SPE,,0.37293348,Perlmutter first
Cu110,N2,pbe_d3,SPE,,0.12555251,Perlmutter first
Cu110,N2,r2scan,SPE,,0.32989938,Perlmutter first
Cu110,N2,beef_vdw,SPE,,-30.79823865,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,NH3,pbe,SPE,,-0.13737729,Perlmutter first
Cu110,NH3,pbe_d3,SPE,,-0.46192300,Perlmutter first
Cu110,NH3,r2scan,SPE,,-0.29855803,Perlmutter first
Cu110,NH3,beef_vdw,SPE,,-31.36756507,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,NO,pbe,SPE,,-1.02185164,Perlmutter first
Cu110,NO,pbe_d3,SPE,,-1.24980491,Perlmutter first
Cu110,NO,beef_vdw,SPE,,-38.70957850,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,SO2,pbe,SPE,,-0.64610518,Perlmutter first
Cu110,SO2,pbe_d3,SPE,,-1.15587784,Perlmutter first
Cu110,SO2,r2scan,SPE,,-1.19932558,Perlmutter first
Cu110,SO2,beef_vdw,SPE,,-31.96032453,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,acetaldehyde,beef_vdw,SPE,-0.918,-31.10097592,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,acetic_acid,beef_vdw,SPE,-1.132,-31.31443300,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,ethane,beef_vdw,SPE,-0.738,-30.92073809,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,ethene,pbe,SPE,-0.187,0.08474009,Perlmutter first
Cu110,ethene,pbe_d3,SPE,-0.718,-0.45603730,Perlmutter first
Cu110,ethene,r2scan,SPE,-0.431,-0.19512683,Perlmutter first
Cu110,ethene,beef_vdw,SPE,-0.129,-31.19717159,Perlmutter energy review retained; Kestrel structure equivalence unverified
Cu110,formaldehyde,pbe,SPE,,0.29352166,Perlmutter first
Cu110,formaldehyde,pbe_d3,SPE,,-0.00144608,Perlmutter first
Cu110,formaldehyde,r2scan,SPE,,0.09443349,Perlmutter first
Cu110,formaldehyde,beef_vdw,SPE,,-30.99906694,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,formic_acid,pbe,SPE,0.112,0.11265040,Perlmutter first
Cu110,formic_acid,beef_vdw,SPE,-1.025,-31.20762999,Perlmutter energy review retained; no unflagged Kestrel alternative
Cu110,methanol,pbe,SPE,0.213,0.15285484,Perlmutter first
Cu110,methanol,pbe_d3,SPE,-0.231,-0.18556714,Perlmutter first
Cu110,methanol,r2scan,SPE,-0.056,-0.04523510,Perlmutter first
Cu110,methanol,beef_vdw,SPE,-0.925,-31.20058549,Perlmutter energy review retained; no unflagged Kestrel alternative
Pd111,H2O,r2scan,SPE,,-0.61652122,Perlmutter first
Pd111,H2S,r2scan,SPE,,-0.90608536,Perlmutter first
Pd111,N2,r2scan,SPE,,-0.50253035,Perlmutter first
Pd111,NH3,r2scan,SPE,,-1.04339219,Perlmutter first
Pd111,SO2,r2scan,SPE,,-1.61890214,Perlmutter first
Pd111,formaldehyde,r2scan,SPE,,-0.56751721,Perlmutter first
Pd111,formic_acid,r2scan,SPE,,-0.76544088,Perlmutter first
Pd111,methane,r2scan,SPE,,-0.30716851,Perlmutter first
Pt100,CO,pbe,SPE,,-2.48207699,Perlmutter first
Pt100,CO,pbe_d3,SPE,,-2.71835447,Perlmutter first
Pt100,CO,r2scan,SPE,,-2.81583493,Perlmutter first
Pt100,CO,beef_vdw,SPE,,-35.67465483,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,DME,pbe,relaxed,,-0.68173164,Perlmutter first
Pt100,DME,pbe,SPE,,-0.63513000,Perlmutter first
Pt100,DME,pbe_d3,relaxed,,-1.30921857,Perlmutter first
Pt100,DME,pbe_d3,SPE,,-1.18584605,Perlmutter first
Pt100,H2O,pbe,SPE,,-0.72242799,Perlmutter first
Pt100,H2O,pbe_d3,SPE,,-0.90085361,Perlmutter first
Pt100,H2O,r2scan,SPE,,-1.09037545,Perlmutter first
Pt100,H2O,beef_vdw,SPE,,-34.06321182,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,H2S,pbe,SPE,,-1.35253170,Perlmutter first
Pt100,H2S,pbe_d3,SPE,,-1.73183736,Perlmutter first
Pt100,H2S,r2scan,SPE,,-1.75369235,Perlmutter first
Pt100,H2S,beef_vdw,SPE,,-34.74531558,Perlmutter energy review retained; no unflagged Kestrel alternative
Pt100,N2,pbe,SPE,,-0.78910169,Perlmutter first
Pt100,N2,pbe_d3,SPE,,-0.98622313,Perlmutter first
Pt100,N2,r2scan,SPE,,-1.10884729,Perlmutter first
