name,surface,molecule,category,min_dist,pair,pair_labels,min_dist_heavy,pair_heavy,n_metal,n_mol,mol_elems,png
Ag111_formate,Ag111,formate,reasonable,2.271,Ag-O,Ag35...O2,2.271,Ag-O,36,4,CHO,Ag111_formate.png
Ag111_formic_acid,Ag111,formic_acid,reasonable,2.687,Ag-H,Ag33...H1,3.036,Ag-O,36,5,CHO,Ag111_formic_acid.png
Ag111_furan,Ag111,furan,borderline,3.254,Ag-H,Ag30...H1,3.302,Ag-C,36,9,CHO,Ag111_furan.png
Ag111_furfural,Ag111,furfural,borderline,3.292,Ag-H,Ag36...H3,3.483,Ag-C,36,11,CHO,Ag111_furfural.png
Ag111_furfuryl_alcohol,Ag111,furfuryl_alcohol,borderline,3.485,Ag-H,Ag29...H5,3.894,Ag-C,36,13,CHO,Ag111_furfuryl_alcohol.png
Ag111_gamma_butyrolactone,Ag111,gamma_butyrolactone,reasonable,2.988,Ag-O,Ag35...O1,2.988,Ag-O,36,12,CHO,Ag111_gamma_butyrolactone.png
Ag111_gamma_valerolactone,Ag111,gamma_valerolactone,reasonable,2.696,Ag-O,Ag31...O1,2.696,Ag-O,36,15,CHO,Ag111_gamma_valerolactone.png
Ag111_gluconic_acid,Ag111,gluconic_acid,borderline,3.529,Ag-H,Ag32...H9,3.549,Ag-O,36,25,CHO,Ag111_gluconic_acid.png
Ag111_glutaric_acid,Ag111,glutaric_acid,reasonable,2.642,Ag-O,Ag32...O3,2.642,Ag-O,36,17,CHO,Ag111_glutaric_acid.png
Ag111_glycerol,Ag111,glycerol,reasonable,2.789,Ag-O,Ag32...O3,2.789,Ag-O,36,14,CHO,Ag111_glycerol.png
Ag111_glycolic_acid,Ag111,glycolic_acid,reasonable,2.822,Ag-H,Ag31...H4,2.96,Ag-O,36,9,CHO,Ag111_glycolic_acid.png
Ag111_glyoxal,Ag111,glyoxal,reasonable,2.351,Ag-O,Ag31...O1,2.351,Ag-O,36,6,CHO,Ag111_glyoxal.png
Ag111_guaiacol,Ag111,guaiacol,borderline,3.375,Ag-O,Ag35...O2,3.375,Ag-O,36,17,CHO,Ag111_guaiacol.png
Ag111_heptane,Ag111,heptane,borderline,3.376,Ag-H,Ag34...H6,4.17,Ag-C,36,23,CH,Ag111_heptane.png
Ag111_heptene,Ag111,heptene,borderline,3.197,Ag-H,Ag29...H12,4.14,Ag-C,36,21,CH,Ag111_heptene.png
Ag111_hexanal,Ag111,hexanal,borderline,3.119,Ag-O,Ag29...O1,3.119,Ag-O,36,19,CHO,Ag111_hexanal.png
Ag111_hexane,Ag111,hexane,borderline,3.128,Ag-H,Ag32...H8,4.066,Ag-C,36,20,CH,Ag111_hexane.png
Ag111_hexene,Ag111,hexene,borderline,3.292,Ag-H,Ag36...H11,3.841,Ag-C,36,18,CH,Ag111_hexene.png
Ag111_hydroquinone,Ag111,hydroquinone,detached,4.303,Ag-H,Ag35...H2,4.532,Ag-C,36,14,CHO,Ag111_hydroquinone.png
Ag111_hydroxyacetaldehyde,Ag111,hydroxyacetaldehyde,borderline,3.015,Ag-O,Ag32...O2,3.015,Ag-O,36,8,CHO,Ag111_hydroxyacetaldehyde.png
Ag111_isobutane,Ag111,isobutane,borderline,3.086,Ag-H,Ag31...H4,4.078,Ag-C,36,14,CH,Ag111_isobutane.png
Ag111_isobutene,Ag111,isobutene,detached,3.685,Ag-H,Ag34...H4,3.746,Ag-C,36,12,CH,Ag111_isobutene.png
Ag111_isoeugenol,Ag111,isoeugenol,borderline,3.598,Ag-H,Ag36...H8,3.927,Ag-O,36,24,CHO,Ag111_isoeugenol.png
Ag111_isopentane,Ag111,isopentane,borderline,3.056,Ag-H,Ag32...H6,4.086,Ag-C,36,17,CH,Ag111_isopentane.png
Ag111_isoprene,Ag111,isoprene,borderline,3.527,Ag-H,Ag34...H4,3.678,Ag-C,36,13,CH,Ag111_isoprene.png
