surface,molecule,functional,E_ads_ML,E_ads_relaxed,E_ads_SPE,relaxed_status,SPE_status,completion_job_directory,relaxed_energy_review,SPE_energy_review,dft_contact_available,required_CONTCAR
Ag110,H2,r2scan,-0.27,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_H2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,H2,beef_vdw,-0.27,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_H2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,H2O,pbe,-0.58,,,refs unverified,potential mismatch,,False,False,True,
Ag110,H2O,pbe_d3,-0.58,,,refs unverified,potential mismatch,,False,False,True,
Ag110,H2O,r2scan,-0.58,,,refs unverified,potential mismatch,,False,False,True,
Ag110,H2O,beef_vdw,-0.58,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,H2S,pbe,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag110,H2S,pbe_d3,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag110,H2S,r2scan,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag110,H2S,beef_vdw,-0.5,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,N2,pbe,-0.05,,,refs unverified,potential mismatch,,False,False,True,
Ag110,N2,pbe_d3,-0.05,,,refs unverified,potential mismatch,,False,False,True,
Ag110,N2,r2scan,-0.05,,,refs unverified,potential mismatch,,False,False,True,
Ag110,N2,beef_vdw,-0.05,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,NH3,pbe,-0.81,,,refs unverified,potential mismatch,,False,False,True,
Ag110,NH3,pbe_d3,-0.81,,,refs unverified,potential mismatch,,False,False,True,
Ag110,NH3,r2scan,-0.81,,,refs unverified,potential mismatch,,False,False,True,
Ag110,NH3,beef_vdw,-0.81,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,NO,pbe,-0.81,,,refs unverified,potential mismatch,,False,False,True,
Ag110,NO,pbe_d3,-0.81,,,refs unverified,potential mismatch,,False,False,True,
Ag110,NO,r2scan,-0.81,,,refs unverified,reference_unavailable,,False,False,True,
Ag110,NO,beef_vdw,-0.81,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,O2,pbe,-0.65,,,refs unverified,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_O2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,O2,pbe_d3,-0.65,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_O2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,O2,r2scan,-0.65,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_O2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,O2,beef_vdw,-0.65,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_O2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,SO2,pbe,-0.68,,,refs unverified,potential mismatch,,False,False,True,
Ag110,SO2,pbe_d3,-0.68,,,refs unverified,potential mismatch,,False,False,True,
Ag110,SO2,r2scan,-0.68,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,SO2,beef_vdw,-0.68,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,acetaldehyde,pbe,-0.59,,,refs unverified,potential mismatch,,False,False,True,
Ag110,acetaldehyde,pbe_d3,-0.59,,,refs unverified,potential mismatch,,False,False,True,
Ag110,acetaldehyde,r2scan,-0.59,,,refs unverified,potential mismatch,,False,False,True,
Ag110,acetaldehyde,beef_vdw,-0.59,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,acetic_acid,pbe,-0.68,,,potential_mismatch,reference_unavailable,,False,False,True,
Ag110,acetic_acid,pbe_d3,-0.68,,,potential_mismatch,reference_unavailable,,False,False,True,
Ag110,acetic_acid,r2scan,-0.68,,,refs unverified,potential mismatch,,False,False,True,
Ag110,acetic_acid,beef_vdw,-0.68,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,ethane,pbe,-0.38,,,refs unverified,potential mismatch,,False,False,True,
Ag110,ethane,pbe_d3,-0.38,,,refs unverified,potential mismatch,,False,False,True,
Ag110,ethane,r2scan,-0.38,,,refs unverified,potential mismatch,,False,False,True,
Ag110,ethane,beef_vdw,-0.38,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,ethanol,pbe,-0.55,-0.231,-0.224,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag110_ae1f44758e/pbe,False,False,True,
Ag110,ethanol,pbe_d3,-0.55,-0.577,-0.467,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag110_9d6c0fe500/pbe_d3,False,False,True,
Ag110,ethanol,r2scan,-0.55,,,refs unverified,refs unverified,,False,False,True,
Ag110,ethanol,beef_vdw,-0.55,-0.494,-0.367,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag110_9a26dc65ff/beef_vdw,False,False,True,
Ag110,ethene,pbe,-0.41,,,refs unverified,potential mismatch,,False,False,True,
Ag110,ethene,pbe_d3,-0.41,,,refs unverified,potential mismatch,,False,False,True,
Ag110,ethene,r2scan,-0.41,,,refs unverified,potential mismatch,,False,False,True,
Ag110,ethene,beef_vdw,-0.41,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,formaldehyde,pbe,-0.41,,,refs unverified,potential mismatch,,False,False,True,
Ag110,formaldehyde,pbe_d3,-0.41,,,refs unverified,potential mismatch,,False,False,True,
Ag110,formaldehyde,r2scan,-0.41,,,refs unverified,potential mismatch,,False,False,True,
Ag110,formaldehyde,beef_vdw,-0.41,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,formate,pbe,-2.33,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,formate,pbe_d3,-2.33,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,formate,r2scan,-2.33,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,formate,beef_vdw,-2.33,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag110_formate/singlepoint/PBE/fully_relaxed/CONTCAR
Ag110,formic_acid,pbe,-0.48,,,refs unverified,potential mismatch,,False,False,True,
Ag110,formic_acid,pbe_d3,-0.48,,,refs unverified,potential mismatch,,False,False,True,
Ag110,formic_acid,r2scan,-0.48,,,refs unverified,potential mismatch,,False,False,True,
Ag110,formic_acid,beef_vdw,-0.48,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,glycerol,pbe,-0.96,,,refs unverified,refs unverified,,False,False,True,
Ag110,glycerol,pbe_d3,-0.96,,,refs unverified,refs unverified,,False,False,True,
Ag110,glycerol,r2scan,-0.96,,,refs unverified,refs unverified,,False,False,True,
Ag110,glycerol,beef_vdw,-0.96,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag110,isopropanol,pbe,-0.59,,-0.237,refs unverified,available,,False,False,True,
Ag110,isopropanol,pbe_d3,-0.59,,-0.578,refs unverified,available,,False,False,True,
Ag110,isopropanol,r2scan,-0.59,,,refs unverified,refs unverified,,False,False,True,
Ag110,isopropanol,beef_vdw,-0.59,,-0.463,no matching Perlmutter calculation,available,,False,False,True,
Ag110,methane,pbe,-0.46,,,refs unverified,potential mismatch,,False,False,True,
Ag110,methane,pbe_d3,-0.46,,,refs unverified,potential mismatch,,False,False,True,
Ag110,methane,r2scan,-0.46,,,refs unverified,potential mismatch,,False,False,True,
Ag110,methane,beef_vdw,-0.46,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,methanol,pbe,-0.48,,,refs unverified,potential mismatch,,False,False,True,
Ag110,methanol,pbe_d3,-0.48,,,refs unverified,potential mismatch,,False,False,True,
Ag110,methanol,r2scan,-0.48,,,refs unverified,potential mismatch,,False,False,True,
Ag110,methanol,beef_vdw,-0.48,,,potential_mismatch,potential mismatch,,False,False,True,
Ag110,propane,pbe,-0.38,,,refs unverified,refs unverified,,False,False,True,
Ag110,propane,pbe_d3,-0.38,,,refs unverified,refs unverified,,False,False,True,
Ag110,propane,r2scan,-0.38,,,refs unverified,refs unverified,,False,False,True,
Ag110,propane,beef_vdw,-0.38,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag110,propanol,pbe,-0.54,,-0.242,refs unverified,available,,False,False,True,
Ag110,propanol,pbe_d3,-0.54,,-0.534,refs unverified,available,,False,False,True,
Ag110,propanol,r2scan,-0.54,,,refs unverified,refs unverified,,False,False,True,
Ag110,propanol,beef_vdw,-0.54,,-0.434,no matching Perlmutter calculation,available,,False,False,True,
Ag110,propene,pbe,-0.34,,,refs unverified,refs unverified,,False,False,True,
Ag110,propene,pbe_d3,-0.34,,,refs unverified,refs unverified,,False,False,True,
Ag110,propene,r2scan,-0.34,,,refs unverified,refs unverified,,False,False,True,
Ag110,propene,beef_vdw,-0.34,,,no matching Perlmutter calculation,no matching Perlmutter calculation; check Kestrel sources,,False,False,True,
Ag111,CH3,pbe,-1.53,-0.785,-0.759,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_61964c781c/pbe,False,False,True,
Ag111,CH3,pbe_d3,-1.53,-1.012,-0.863,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_71d4cd48c4/pbe_d3,False,False,True,
Ag111,CH3,r2scan,-1.53,,-0.602,refs unverified,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_f9365ca685/r2scan,False,False,True,
Ag111,CH3,beef_vdw,-1.53,-0.892,-0.832,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_35207ad13f/beef_vdw,False,False,True,
Ag111,CO,pbe,-0.43,0.1,0.121,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_61964c781c/pbe,False,False,True,
Ag111,CO,pbe_d3,-0.43,-0.12,0.069,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_71d4cd48c4/pbe_d3,False,False,True,
Ag111,CO,r2scan,-0.43,,0.2,refs unverified,available,,False,False,True,
Ag111,CO,beef_vdw,-0.43,-0.163,0.152,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_35207ad13f/beef_vdw,False,False,True,
Ag111,CO2,pbe,-0.36,,,refs unverified,potential mismatch,,False,False,True,
Ag111,CO2,pbe_d3,-0.36,,,potential_mismatch,reference_unavailable,,False,False,True,
Ag111,CO2,r2scan,-0.36,,,refs unverified,potential mismatch,,False,False,True,
Ag111,CO2,beef_vdw,-0.36,,,potential_mismatch,potential mismatch,,False,False,True,
Ag111,DME,pbe,-0.2,-0.051,-0.017,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_61964c781c/pbe,False,False,True,
Ag111,DME,pbe_d3,-0.2,-0.267,-0.084,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE_D3,False,False,True,
Ag111,DME,r2scan,-0.2,-0.097,0.064,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag111_f9365ca685/r2scan,False,False,True,
