surface,molecule,functional,mode,E_ads_perlmutter,E_ads_kestrel,complex_total_difference_eV,perlmutter_directory,kestrel_directory,same_structure,geometry_evidence,selection_reason
Ag111,acetic_acid,beef_vdw,SPE,-0.39888864,-0.39888878,1.4E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_acetic_acid/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,ethene,pbe,SPE,0.00239544,0.00239574,-3.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_ethylene/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,ethene,pbe_d3,SPE,-0.07525178,-0.07525148,-3.0E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_ethylene/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,ethene,r2scan,SPE,0.06052107,0.06050452,0.00001655,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_ethylene/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,ethene,beef_vdw,SPE,-0.28365464,-0.28344080,-0.00021384,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag111_ethylene/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,formaldehyde,pbe,SPE,0.01454826,0.01454829,-3E-8,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,formaldehyde,pbe_d3,SPE,0.01571395,0.01571397,-2E-8,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,formaldehyde,r2scan,SPE,0.08751338,0.08750245,0.00001093,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,formaldehyde,beef_vdw,SPE,-0.21443467,-0.21443667,0.00000200,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formaldehyde/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,formic_acid,pbe,SPE,-0.08143403,-0.08143421,1.8E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/HCOOH_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag111,formic_acid,pbe_d3,SPE,-0.18505208,-0.18505226,1.8E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/HCOOH_Ag111/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag111,formic_acid,r2scan,SPE,-0.04831106,-0.04830279,-0.00000827,/pscratch/sd/j/jcho5/VASP/dft_jobs/HCOOH_Ag111/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag111,formic_acid,beef_vdw,SPE,-0.34624073,-0.34623947,-0.00000126,/pscratch/sd/j/jcho5/VASP/dft_jobs/HCOOH_Ag111/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_formic_acid/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
