surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag100,isopropanol,pbe_d3,-1.07192745,-0.49,0.58192745,2.34192745,-0.49,-1.76,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_isopropanol/singlepoint/PBE_D3
Ag100,isopropanol,r2scan,-1.30576301,-0.49,0.81576301,3.22576301,-0.49,-2.41,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_isopropanol/singlepoint/r2scan
Ag100,methane,pbe,-0.62950171,-0.42,0.20950171,0.84550171,-0.42,-0.636,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH4/singlepoint/PBE
Ag100,methane,pbe_d3,-0.70095937,-0.42,0.28095937,1.08195937,-0.42,-0.801,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH4/singlepoint/PBE_D3
Ag100,methane,r2scan,-1.05659736,-0.42,0.63659736,1.78559736,-0.42,-1.149,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH4/singlepoint/r2scan
Ag100,methanol,pbe,-0.77726027,-0.40,0.37726027,1.16626027,-0.40,-0.789,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_methanol/singlepoint/PBE
Ag100,methanol,pbe_d3,-0.92340573,-0.40,0.52340573,1.59940573,-0.40,-1.076,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_methanol/singlepoint/PBE_D3
Ag100,methanol,r2scan,-1.26692331,-0.40,0.86692331,2.24692331,-0.40,-1.38,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_methanol/singlepoint/r2scan
Ag100,propane,pbe,-0.63252999,-0.31,0.32252999,1.50252999,-0.31,-1.18,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propane/singlepoint/PBE
Ag100,propane,pbe_d3,-0.88109262,-0.31,0.57109262,2.15109262,-0.31,-1.58,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propane/singlepoint/PBE_D3
Ag100,propane,r2scan,-1.10443455,-0.31,0.79443455,3.01443455,-0.31,-2.22,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propane/singlepoint/r2scan
Ag100,propanol,pbe,-0.78799188,-0.47,0.31799188,1.64799188,-0.47,-1.33,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propanol/singlepoint/PBE
Ag100,propanol,pbe_d3,-1.13401899,-0.47,0.66401899,2.36401899,-0.47,-1.70,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propanol/singlepoint/PBE_D3
Ag100,propanol,r2scan,-1.33693262,-0.47,0.86693262,3.25693262,-0.47,-2.39,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propanol/singlepoint/r2scan
Ag100,propene,pbe,-0.69306202,-0.21,0.48306202,1.71306202,-0.21,-1.23,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propene/singlepoint/PBE
Ag100,propene,pbe_d3,-0.94567444,-0.21,0.73567444,2.50567444,-0.21,-1.77,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propene/singlepoint/PBE_D3
Ag100,propene,r2scan,-1.18493951,-0.21,0.97493951,3.24493951,-0.21,-2.27,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_propene/singlepoint/r2scan
