surface,molecule,functional,system,E_ads_DFT,E_ads_ML,delta_eV
Ag110,acetaldehyde,r2scan,CH3CHO_Ag110,-0.9563599599999577,-0.588154,0.36820595999995775
Ag110,acetic_acid,r2scan,CH3COOH_Ag110,-1.1263596500000261,-0.675636,0.4507236500000261
Ag110,ethane,pbe,C2H6_Ag110,-0.41444224000000673,-0.380138,0.03430424000000676
Ag110,ethane,pbe_d3,C2H6_Ag110,-0.6026768099999984,-0.380138,0.22253880999999842
Ag110,ethene,pbe,C2H4_Ag110,-0.5952995299999984,-0.408871,0.18642852999999837
Ag110,ethene,pbe_d3,C2H4_Ag110,-0.916168669999994,-0.408871,0.507297669999994
Ag110,formaldehyde,pbe,H2CO_Ag110,-0.5338592300000009,-0.407906,0.12595323000000092
Ag110,formaldehyde,pbe_d3,H2CO_Ag110,-0.759331870000004,-0.407906,0.351425870000004
Ag110,formaldehyde,r2scan,H2CO_Ag110,-0.9739462900000149,-0.407906,0.5660402900000149
Ag110,formic_acid,pbe,HCOOH_Ag110,-0.629413980000006,-0.483854,0.14555998000000603
Ag110,formic_acid,pbe_d3,HCOOH_Ag110,-0.9316767900000045,-0.483854,0.44782279000000447
Ag110,formic_acid,r2scan,HCOOH_Ag110,-1.1048051499999474,-0.483854,0.6209511499999474
Ag110,methane,pbe,CH4_Ag110,-0.3927175399999996,-0.459803,-0.06708546000000043
Ag110,methane,pbe_d3,CH4_Ag110,-0.5386679100000045,-0.459803,0.07886491000000445
Ag110,methane,r2scan,CH4_Ag110,-0.7458958200000261,-0.459803,0.28609282000002606
Ag110,methanol,pbe,CH3OH_Ag110,-0.6248623400000035,-0.476879,0.14798334000000352
Ag110,methanol,pbe_d3,CH3OH_Ag110,-0.8716405700000003,-0.476879,0.3947615700000003
Ag110,methanol,r2scan,CH3OH_Ag110,-1.0678104000000133,-0.476879,0.5909314000000132
Ag111,CO2,pbe,CO2_Ag111,-1.2350194100000103,-0.356842,0.8781774100000103
Ag111,ethane,pbe,C2H6_Ag111,-1.2209551100000127,-0.274319,0.9466361100000127
